loss,mean_absolute_error,val_loss,val_mean_absolute_error,date,loading_id
0.676713764667511,0.676713764667511,0.3056817650794983,0.3056817650794983,2024-12-28 13:43:10.188793,1735393390.188793
0.24150322377681732,0.24150322377681732,0.21392756700515747,0.21392756700515747,2024-12-28 13:43:10.188793,1735393390.188793
0.21325048804283142,0.21325048804283142,0.19594766199588776,0.19594766199588776,2024-12-28 13:43:10.188793,1735393390.188793
0.20977258682250977,0.20977258682250977,0.18568697571754456,0.18568697571754456,2024-12-28 13:43:10.188793,1735393390.188793
0.17412404716014862,0.17412404716014862,0.16138893365859985,0.16138893365859985,2024-12-28 13:43:10.188793,1735393390.188793
0.1521158367395401,0.1521158367395401,0.17295178771018982,0.17295178771018982,2024-12-28 13:43:10.188793,1735393390.188793
0.14952290058135986,0.14952290058135986,0.1501118242740631,0.1501118242740631,2024-12-28 13:43:10.188793,1735393390.188793
0.1356685608625412,0.1356685608625412,0.13943172991275787,0.13943172991275787,2024-12-28 13:43:10.188793,1735393390.188793
0.13566389679908752,0.13566389679908752,0.14267082512378693,0.14267082512378693,2024-12-28 13:43:10.188793,1735393390.188793
0.14226651191711426,0.14226651191711426,0.1434192657470703,0.1434192657470703,2024-12-28 13:43:10.188793,1735393390.188793
